phase,two_theta,intensity
Hydrocerussite,11.1902,0.02597
Hydrocerussite,19.8806,0.27367
Hydrocerussite,20.9222,0.27069
Hydrocerussite,22.489,3.5999999999999997e-4
Hydrocerussite,24.6713,0.74859
Hydrocerussite,27.1637,1
Hydrocerussite,32.9645,0.08732
Hydrocerussite,34.0146,0.34111
Hydrocerussite,34.1524,0.5386
Hydrocerussite,36.0469,0.09278
Hydrocerussite,36.1649,3.5e-4
Hydrocerussite,39.8298,0.01358
Hydrocerussite,40.3933,0.24346
Hydrocerussite,41.2795,5.8e-4
Hydrocerussite,42.5858,0.14859999999999998
Hydrocerussite,43.0066,0.18139
Hydrocerussite,44.1718,0.18252000000000002
Hydrocerussite,45.908,0.00381
Hydrocerussite,46.6137,0.01672
Hydrocerussite,48.1983,0.127
Hydrocerussite,48.9709,0.29301
Hydrocerussite,50.5897,4e-4
Hydrocerussite,53.4518,0.00398
Hydrocerussite,53.9025,0.16394999999999998
Hydrocerussite,54.1604,0.03197
Hydrocerussite,55.6801,0.03703
Hydrocerussite,56.0256,0.02521
Hydrocerussite,56.989,0.07271999999999999
Hydrocerussite,58.097,0.13321
Hydrocerussite,58.3515,0.0035600000000000002
Hydrocerussite,58.4421,0.06996
Hydrocerussite,59.0385,0.038759999999999996
Hydrocerussite,60.3894,0.13184
Hydrocerussite,61.1419,0.040780000000000004
Hydrocerussite,62.3783,0.06008
Hydrocerussite,62.4568,0.01294
Hydrocerussite,65.6024,0.01122
Hydrocerussite,66.0088,0.012320000000000001
Hydrocerussite,66.3131,0.009609999999999999
Hydrocerussite,67.2712,0.030420000000000003
Hydrocerussite,69.1434,0.04242
Hydrocerussite,69.3747,0.0064800000000000005
Hydroxypyromorphite,10.34500324754928,0.005
Hydroxypyromorphite,15.798651943164115,0.011
Hydroxypyromorphite,17.9672937293444,0.054
Hydroxypyromorphite,20.775542505309616,0.2602
Hydroxypyromorphite,21.609913542974336,0.2592
Hydroxypyromorphite,23.947086922641553,0.061
Hydroxypyromorphite,23.947086922641553,0.061
Hydroxypyromorphite,26.147288201556112,0.2612
Hydroxypyromorphite,27.599147440324177,0.2872
Hydroxypyromorphite,30.099858636510213,1
Hydroxypyromorphite,30.099858636510213,1
Hydroxypyromorphite,31.38381316141261,0.3113
Hydroxypyromorphite,31.908090698487356,0.008
Hydroxypyromorphite,33.67691561191912,0.003
Hydroxypyromorphite,36.39648107405272,0.012
Hydroxypyromorphite,36.85734657687436,0.003
Hydroxypyromorphite,37.80845183555349,0.002
Hydroxypyromorphite,37.937976158931185,0.007
Hydroxypyromorphite,38.42614820818646,0.003
Hydroxypyromorphite,39.85964473038046,0.035
Hydroxypyromorphite,39.85964473038046,0.035
Hydroxypyromorphite,40.751082470629775,0.082
Hydroxypyromorphite,42.276361706952045,0.035
Hydroxypyromorphite,44.04006715298196,0.2022
Hydroxypyromorphite,44.04006715298196,0.2022
Hydroxypyromorphite,45.36422684656532,0.11109999999999999
Hydroxypyromorphite,46.1694002376744,0.17809999999999998
Hydroxypyromorphite,46.279305505565375,0.14709999999999998
Hydroxypyromorphite,47.96236876413523,0.1161
Hydroxypyromorphite,48.80444007501663,0.1261
Hydroxypyromorphite,49.02855856496075,0.088
Hydroxypyromorphite,49.16915230949934,0.2042
Hydroxypyromorphite,50.25086338495786,0.001
Hydroxypyromorphite,50.42328710265958,0.001
Hydroxypyromorphite,52.31992873042154,0.001
Hydroxypyromorphite,52.63307125013486,0.008
Hydroxypyromorphite,52.76683482802344,0.006
Hydroxypyromorphite,53.48755530618803,0.002
Hydroxypyromorphite,53.79637713229367,0.023
Hydroxypyromorphite,55.07167044728393,0.014
Hydroxypyromorphite,55.86845406236627,0.005
Hydroxypyromorphite,56.986332868122844,0.033
Hydroxypyromorphite,57.18777504562733,0.064
Hydroxypyromorphite,57.34501376110807,0.06
Hydroxypyromorphite,58.44488183614986,0.001
Hydroxypyromorphite,59.3772645725466,0.057
Hydroxypyromorphite,59.50103706711757,0.054
Hydroxypyromorphite,60.16745948201148,0.049
Hydroxypyromorphite,60.25962060365343,0.029
Hydroxypyromorphite,61.64018164325412,0.078
Hydroxypyromorphite,61.64018164325412,0.078
Hydroxypyromorphite,62.292674851442015,0.001
Hydroxypyromorphite,62.57348252891776,0.003
Hydroxypyromorphite,62.69344326953346,0.002
Hydroxypyromorphite,63.528663229806064,0.001
Hydroxypyromorphite,65.59228364937383,0.009
Hydroxypyromorphite,65.79544823087288,0.005
Hydroxypyromorphite,66.69760327584238,0.012
Hydroxypyromorphite,66.8421748798627,0.006
Hydroxypyromorphite,67.85161721015415,0.002
Hydroxypyromorphite,68.44409775394473,0.012
Hydroxypyromorphite,69.62255389255212,0.036
Hydroxypyromorphite,69.70710532115837,0.028
Hydroxypyromorphite,69.84832262759012,0.042
Cerussite,20.053780009572414,0.1475
Cerussite,20.895722358423583,0.0698
Cerussite,24.778260693987058,1
Cerussite,25.471759024669044,0.4851
Cerussite,29.04360283374313,0.1832
Cerussite,30.92896061971211,0.0166
Cerussite,33.894703611236416,0.0143
Cerussite,34.58801411261063,0.14880000000000002
Cerussite,35.54789573727608,0.171
Cerussite,36.05145556501849,0.0858
Cerussite,36.114483941552045,0.2618
Cerussite,40.757046891911706,0.06570000000000001
Cerussite,42.52992167977354,0.0208
Cerussite,43.444154302267926,0.2897
Cerussite,45.12980221637235,0.134
Cerussite,45.772442526236276,0.1384
Cerussite,46.99197570916699,0.2502
Cerussite,48.97232931359799,0.1839
Cerussite,49.36019886844969,0.086
Cerussite,50.82244070064416,0.0444
Cerussite,52.326050422930834,0.0219
Cerussite,54.13556989051942,0.0199
Cerussite,55.93245730230535,0.0171
Cerussite,56.32800051172587,0.095
Cerussite,56.99018527816719,0.0144
Cerussite,58.07883050089903,0.08929999999999999
Cerussite,59.11219626331241,0.08220000000000001
Cerussite,60.19814668312925,0.0208
Cerussite,61.67111841146761,0.055999999999999994
Cerussite,62.60542424882865,0.0248
Cerussite,62.97907363025123,0.044800000000000006
Cerussite,62.99811903206904,0.0254
Cerussite,64.1291300238801,0.0285
Cerussite,64.248099170075875,0.0229
Cerussite,64.45243366855587,0.0139
Cerussite,65.227392349881,0.0245
Cerussite,65.91747200514489,0.0215
